Internal ID,Item Name,Display Name,UPC Code,Bin Number,Bin OnHand,Bin Available,Bin Location,Item Status,Average Cost,Average Cost Per Bin,Subsidiary
29262,ST0704Z,STATEMENT 7 OZ. SAND GLASS WITH CHARCOAL DECAL BOXED VIOLET,647658014159,B50-A-037,4,4,MC-PW,WEB/AMAZON ,4.95046117,19.802,PW
2324,TINS : 30025,TIN - LIBRARY COLLECTION RECTANGLE W/HINGE LID COPPER (288 P,,B10-A-001,20760,20760,MC-PW,Current,.68831408,14289.40,PW
24616,TINS : 30201,5 OZ. GOLD MINI GRAB TIN,,B10-A-001,4416,4416,MC-PW,CUSTOM TARGET C2 SPRING 2019,.47077712,2078.952,PW
29299,UR1206Z,URBAN CONCRETE POT 12 OZ WITH DIAGONAL COPPER BERGAMOT & MAH,647658009094,B50-A-029,24,24,MC-PW,WEB/AMAZON DISCONTINUED,4.78809211,114.914,PW
35315,WNKH02001,FIREFLY CUSTOM 2 OZ. TIN KAREE HAYS,,B70-A-003,49,49,MC-PW,CUSTOM FIREFLY,2.14836735,105.27,PW
35284,WNKH04001,FIREFLY CUSTOM KAREE HAYS 4 OZ. ROOM SPRAY,,B70-A-001,136,136,MC-PW,CURRENT,2.59919118,353.49,PW
35498,WNLC06001,FIREFLY CUSTOM 6 OZ. TIN LOVELESS CAFE YAY BUTTER,,B50-A-041,99,99,MC-PW,CURRENT,3.4859596,345.11,PW
34410,WNLM00001,FIREFLY CUSTOM 3 OZ. LOCAL MARKET SANTO WOOD AND SUEDE GLASS,,B60-A-040,15,15,MC-PW,Current,5.00,75.00,PW
34411,WNLM00002,FIREFLY CUSTOM 3 OZ. LOCAL MARKET LEMON BERGAMOT GLASS,,B70-A-009,8,8,MC-PW,Current,5.00,40.00,PW
34412,WNLM00003,FIREFLY CUSTOM 3 OZ. LOCAL MARKET PEONY AND PEAR GLASS,,B60-A-040,39,39,MC-PW,Current,5.00,195.00,PW
