Internal ID,Item Name,Display Name,UPC Code,Bin Number,Bin OnHand,Bin Available,Bin Location,Item Status,Average Cost,Average Cost Per Bin,Subsidiary,Item Type
36557,NBH0801,FOUNDRY: 8 OZ OPAQUE WHITE IRIDESCENT GLASS WITH GOLD LID SWEET CHAMPAGNE (NBH0801),647658030135,OB-STG001,1300,16,MC-PW,CUSTOM ITEM BBB 2020,3.33739549,53.398,PW,Assembly/Bill of Materials
36557,NBH0801,FOUNDRY: 8 OZ OPAQUE WHITE IRIDESCENT GLASS WITH GOLD LID SWEET CHAMPAGNE (NBH0801),647658030135,STA-PFG,2064,2064,MC-PW,CUSTOM ITEM BBB 2020,3.33739549,6888.384,PW,Assembly/Bill of Materials
37179,NBH0801CAN,FOUNDRY: 8 OZ OPAQUE WHITE IRIDESCENT GLASS WITH GOLD LID SWEET CHAMPAGNE (BBB CANADA),647658030135,STA-PFG,240,240,MC-PW,CUSTOM ITEM BBB 2020,3.32520833,798.05,PW,Assembly/Bill of Materials
36559,NBH0802,FOUNDRY: 8 OZ OPAQUE GREY IRIDESCENT GLASS WITH GOLD LID FRESH SEA SALT,647658030142,B50-A-007,636,616,MC-PW,CUSTOM ITEM BBB 2020,3.31937421,2044.735,PW,Assembly/Bill of Materials
36559,NBH0802,FOUNDRY: 8 OZ OPAQUE GREY IRIDESCENT GLASS WITH GOLD LID FRESH SEA SALT,647658030142,OB-STG001,984,12,MC-PW,CUSTOM ITEM BBB 2020,3.31937421,39.832,PW,Assembly/Bill of Materials
36559,NBH0802,FOUNDRY: 8 OZ OPAQUE GREY IRIDESCENT GLASS WITH GOLD LID FRESH SEA SALT,647658030142,STA-PFG,1560,1560,MC-PW,CUSTOM ITEM BBB 2020,3.31937421,5178.224,PW,Assembly/Bill of Materials
37180,NBH0802CAN,FOUNDRY: 8 OZ OPAQUE GREY IRIDESCENT GLASS WITH GOLD LID FRESH SEA SALT (BBB CANADA),647658030142,STA-PFG,228,228,MC-PW,CUSTOM ITEM BBB 2020,3.7979386,865.93,PW,Assembly/Bill of Materials
36560,NBH0803,FOUNDRY: 8 OZ OPAQUE NAVY IRIDESCENT GLASS WITH GOLD LID TONKA NOIR,647658030159,B50-A-005,736,716,MC-PW,CUSTOM ITEM BBB 2020,3.33548663,2388.208,PW,Assembly/Bill of Materials
36560,NBH0803,FOUNDRY: 8 OZ OPAQUE NAVY IRIDESCENT GLASS WITH GOLD LID TONKA NOIR,647658030159,OB-STG001,864,12,MC-PW,CUSTOM ITEM BBB 2020,3.33548663,40.026,PW,Assembly/Bill of Materials
36560,NBH0803,FOUNDRY: 8 OZ OPAQUE NAVY IRIDESCENT GLASS WITH GOLD LID TONKA NOIR,647658030159,STA-PFG,1092,1092,MC-PW,CUSTOM ITEM BBB 2020,3.33548663,3642.351,PW,Assembly/Bill of Materials
