,Internal ID,Item Name,UPC Code,Bin Number,Bin OnHand,Bin Available,Bin Location,Item Status,Average Cost,Average Cost Per Bin,Subsidiary,Item Type,Inactive
9000,16180,ML8125,817636017445,OB-STG001,1.0,0.0,B2C Warehouse ONV,Current,2.72809587,0.0,ONV,Assembly/Bill of Materials,No
352,31290,BDBB03,647658023755,OB-STG001,1.0,0.0,B2C Warehouse PW,CURRENT,2.10998188,0.0,PW,Inventory Item,No
12529,38658,WP10004TCB,647658036694,OB-STG001,680.0,0.0,MC-PW,Custom Item Cracker Barrel,4.30276342,0.0,PW,Assembly/Bill of Materials,No
2244,34212,CFH1501,647658025117,OB-STG001,4.0,4.0,MC-PW,PADDYWAX FALL 2020,5.39219371,21.569000000000003,PW,Assembly/Bill of Materials,No
12761,34812,WPCCR0405,647658028231,OB-STG001,4.0,4.0,MC-PW,FIREFLY SPRING 2020,4.485,17.94,PW,Assembly/Bill of Materials,No
9093,17384,MLDK1,817636017766,OB-STG001,1.0,0.0,B2C Warehouse ONV,Current,5.25314908,0.0,ONV,Assembly/Bill of Materials,No
12762,34814,WPCCR0406,647658028248,OB-STG001,4.0,4.0,MC-PW,FIREFLY SPRING 2020,7.2829999999999995,29.131999999999998,PW,Assembly/Bill of Materials,No
12847,34780,WPCCR1201,647658027999,OB-STG001,12.0,0.0,MC-PW,FIREFLY FALL 2020,4.40645267,0.0,PW,Assembly/Bill of Materials,No
2469,22894,DTP-1005,812442028708,OB-STG001,1.0,0.0,B2C Warehouse INK,Current,2.29065777,0.0,INK,Inventory Item,No
12853,34781,WPCCR1202,647658028002,OB-STG001,8.0,0.0,MC-PW,FIREFLY FALL 2020,4.23604582,0.0,PW,Assembly/Bill of Materials,No
12858,34782,WPCCR1203,647658028019,OB-STG001,16.0,0.0,MC-PW,FIREFLY FALL 2020,4.24348199,0.0,PW,Assembly/Bill of Materials,No
12862,34783,WPCCR1204,647658028026,OB-STG001,4.0,0.0,MC-PW,FIREFLY SPRING 2020,4.29206406,0.0,PW,Assembly/Bill of Materials,No
9220,35405,NCUFD03WF,647658027562,OB-STG001,4.0,4.0,MC-PW,CUSTOM ORDER ITEM WHOLE FOODS,3.40017857,13.600999999999999,PW,Assembly/Bill of Materials,No
12868,34802,WPCCR1205,647658028033,OB-STG001,12.0,0.0,MC-PW,FIREFLY FALL 2020,4.3471616,0.0,PW,Assembly/Bill of Materials,No
12874,34784,WPCCR1206,647658028040,OB-STG001,4.0,0.0,MC-PW,FIREFLY FALL 2020,4.51840571,0.0,PW,Assembly/Bill of Materials,No
12884,34788,WPCCR1208,647658028064,OB-STG001,4.0,0.0,MC-PW,FIREFLY FALL 2020,4.32671906,0.0,PW,Assembly/Bill of Materials,No
12895,34790,WPCCR1210,647658028088,OB-STG001,12.0,4.0,MC-PW,FIREFLY FALL 2020,4.27252852,17.09,PW,Assembly/Bill of Materials,No
9257,31142,NFD0701,647658024202,OB-STG001,4.0,0.0,MC-PW,CUSTOM ITEM MEIJER,2.63548387,0.0,PW,Assembly/Bill of Materials,No
9260,31143,NFD0702,647658024219,OB-STG001,4.0,0.0,MC-PW,CUSTOM ITEM MEIJER,2.53074219,0.0,PW,Assembly/Bill of Materials,No
9264,31254,NFD0703,647658024226,OB-STG001,4.0,0.0,MC-PW,CUSTOM ITEM MEIJER,2.69637997,0.0,PW,Assembly/Bill of Materials,No
9269,31255,NFD0704,647658024233,OB-STG001,4.0,0.0,MC-PW,CUSTOM ITEM MEIJER,2.65179315,0.0,PW,Assembly/Bill of Materials,No
9274,31258,NFD0705,647658024240,OB-STG001,4.0,0.0,MC-PW,CUSTOM ITEM MEIJER,2.35002495,0.0,PW,Assembly/Bill of Materials,No
9278,31260,NFD0706,647658024257,OB-STG001,4.0,0.0,MC-PW,CUSTOM ITEM MEIJER,2.14960837,0.0,PW,Assembly/Bill of Materials,No
12965,34847,WPCRV0602,647658028569,OB-STG001,36.0,0.0,MC-PW,FIREFLY FALL 2020,2.93051771,0.0,PW,Assembly/Bill of Materials,No
12968,34848,WPCRV0603,647658028576,OB-STG001,12.0,4.0,MC-PW,FIREFLY FALL 2020,2.98874899,11.955,PW,Assembly/Bill of Materials,No
13854,34617,WPSC10002,647658027012,OB-STG001,12.0,0.0,MC-PW,FIREFLY FALL 2020,4.48852613,0.0,PW,Assembly/Bill of Materials,No
12843,34828,WPCCR0810,647658028385,OB-STG001,4.0,4.0,MC-PW,FIREFLY SPRING 2020,6.348621700000001,25.394000000000002,PW,Assembly/Bill of Materials,No
12826,34823,WPCCR0805,647658028330,OB-STG001,4.0,0.0,MC-PW,FIREFLY FALL 2020,7.45611538,0.0,PW,Assembly/Bill of Materials,No
12819,34821,WPCCR0803,647658028316,OB-STG001,16.0,4.0,MC-PW,FIREFLY FALL 2020,6.85159213,27.406,PW,Assembly/Bill of Materials,No
12805,34800,WPCCR0610,647658028187,OB-STG001,8.0,0.0,MC-PW,FIREFLY FALL 2020,2.59245976,0.0,PW,Assembly/Bill of Materials,No
12767,34791,WPCCR0601,647658028095,OB-STG001,20.0,0.0,MC-PW,FIREFLY FALL 2020,2.7156211,0.0,PW,Assembly/Bill of Materials,No
12771,34792,WPCCR0602,647658028101,OB-STG001,36.0,0.0,MC-PW,FIREFLY FALL 2020,2.67625186,0.0,PW,Assembly/Bill of Materials,No
12776,34793,WPCCR0603,647658028118,OB-STG001,56.0,0.0,MC-PW,FIREFLY FALL 2020,2.68542857,0.0,PW,Assembly/Bill of Materials,No
12780,34794,WPCCR0604,647658028125,OB-STG001,24.0,0.0,MC-PW,FIREFLY FALL 2020,2.72391901,0.0,PW,Assembly/Bill of Materials,No
2263,35752,CFHFD01Z,647658025278,OB-STG001,1.0,1.0,B2C Warehouse PW,WEB/AMAZON ,4.79033195,4.79,PW,Assembly/Bill of Materials,No
2191,34193,CFH0503,647658025087,OB-STG001,4.0,4.0,MC-PW,PADDYWAX FALL 2020,2.89979769,11.599,PW,Assembly/Bill of Materials,No
2190,34192,CFH0502,647658025070,OB-STG001,4.0,4.0,MC-PW,PADDYWAX FALL 2020,2.80532909,11.220999999999998,PW,Assembly/Bill of Materials,No
12784,34795,WPCCR0605,647658028132,OB-STG001,36.0,0.0,MC-PW,FIREFLY FALL 2020,2.79041176,0.0,PW,Assembly/Bill of Materials,No
12789,34796,WPCCR0606,647658028149,OB-STG001,16.0,0.0,MC-PW,FIREFLY FALL 2020,2.84125242,0.0,PW,Assembly/Bill of Materials,No
9288,31266,NFD0708,647658024271,OB-STG001,4.0,0.0,MC-PW,CUSTOM ITEM MEIJER,2.472569,0.0,PW,Assembly/Bill of Materials,No
2367,25181,DF01,647658018621,OB-STG001,1.0,0.0,B2C Warehouse PW,CURRENT,14.53125303,0.0,PW,Inventory Item,No
12793,34797,WPCCR0607,647658028156,OB-STG001,12.0,0.0,MC-PW,FIREFLY FALL 2020,2.68762574,0.0,PW,Assembly/Bill of Materials,No
2403,31091,DPFW-1002,840111501702,OB-STG001,1740.0,1740.0,MC-INK,DWI SPRING 2020,1.83214108,3187.925,INK,Inventory Item,No
2417,36187,DPZ-1001,840111508398,OB-STG001,1.0,0.0,B2C Warehouse INK,DWI FALL 2020,14.1936,0.0,INK,Inventory Item,No
9137,16212,MLZ2,817636017483,OB-STG001,6.0,0.0,MC-ONV,Current,7.45615142,0.0,ONV,Assembly/Bill of Materials,No
2445,36181,DSB-1003,840111508336,OB-STG001,1.0,0.0,B2C Warehouse INK,DWI FALL 2020,2.31149088,0.0,INK,Inventory Item,No
2450,31085,DSC-1002,840111505182,OB-STG001,1.0,0.0,B2C Warehouse INK,DWI SPRING 2020,3.02691106,0.0,INK,Inventory Item,No
9142,16219,MLZ4,817636017520,OB-STG001,1.0,0.0,B2C Warehouse ONV,Current,6.31522491,0.0,ONV,Assembly/Bill of Materials,No
12797,34798,WPCCR0608,647658028163,OB-STG001,8.0,0.0,MC-PW,FIREFLY FALL 2020,2.80324859,0.0,PW,Assembly/Bill of Materials,No
12800,34799,WPCCR0609,647658028170,OB-STG001,12.0,0.0,MC-PW,FIREFLY FALL 2020,2.82916504,0.0,PW,Assembly/Bill of Materials,No
2370,36176,DMK-1001,840111508282,OB-STG001,1.0,0.0,B2C Warehouse INK,DWI FALL 2020,4.80355863,0.0,INK,Inventory Item,No
9474,31297,NFD1503,647658024301,OB-STG001,4.0,0.0,MC-PW,CUSTOM ITEM MEIJER,4.28377319,0.0,PW,Assembly/Bill of Materials,No
13541,34904,WPDSR1226,647658028866,OB-STG001,4.0,0.0,MC-PW,FIREFLY SPRING 2021,5.18421053,0.0,PW,Assembly/Bill of Materials,No
5700,31041,JS200-1006,840111503522,OB-STG001,2.0,0.0,B2C Warehouse INK,DWI SPRING 2020,2.48863735,0.0,INK,Inventory Item,No
9901,36891,NSPFD04,647658033259,OB-STG001,108.0,40.0,MC-PW,Bed Bath & Beyond,3.14402778,125.76100000000001,PW,Inventory Item,No
9903,36893,NSPFD05,647658033266,OB-STG001,108.0,40.0,MC-PW,Bed Bath & Beyond,3.14410448,125.764,PW,Inventory Item,No
9905,36894,NSPFD06,647658033273,OB-STG001,108.0,40.0,MC-PW,Bed Bath & Beyond,3.1437037,125.74799999999999,PW,Inventory Item,No
167,33843,AGS81-1002,840111503973,OB-STG001,1.0,0.0,B2C Warehouse INK,DWI SPRING 2020,4.32454545,0.0,INK,Inventory Item,No
2823,7378,EG10Z,647658386874,OB-STG001,5.0,0.0,B2C Warehouse PW,WEB/AMAZON DISCONTINUED,3.95522034,0.0,PW,Assembly/Bill of Materials,No
9966,33653,PDFD01Z,647658020365,OB-STG001,12.0,0.0,B2C Warehouse PW,WEB/AMAZON ,4.90432836,0.0,PW,Assembly/Bill of Materials,No
2854,29301,EGFD06Z,647658110004,OB-STG001,1.0,1.0,MC-PW,WEB/AMAZON DISCONTINUED,7.896750900000001,7.897,PW,Assembly/Bill of Materials,No
9899,36890,NSPFD03,647658033242,OB-STG001,112.0,40.0,MC-PW,Bed Bath & Beyond,3.14375,125.75,PW,Inventory Item,No
9975,33654,PDFD02Z,647658020389,OB-STG001,2.0,0.0,B2C Warehouse PW,WEB/AMAZON ,5.10184211,0.0,PW,Assembly/Bill of Materials,No
2875,25951,ES03,647658018652,OB-STG001,1.0,0.0,B2C Warehouse PW,CURRENT,2.21826087,0.0,PW,Assembly/Bill of Materials,No
13680,36967,WPKS13001,647658033778,OB-STG001,72.0,0.0,MC-PW,FIREFLY SPRING 2021,5.18897698,0.0,PW,Assembly/Bill of Materials,No
13662,36371,WPKC10005T,647658030043,OB-STG001,2.0,0.0,MC-PW,FIREFLY FALL 2020,4.38928571,0.0,PW,Assembly/Bill of Materials,No
13659,34667,WPKC10005,647658027180,OB-STG001,8.0,0.0,MC-PW,FIREFLY FALL 2020,4.26375,0.0,PW,Assembly/Bill of Materials,No
13653,36369,WPKC10004T,647658030036,OB-STG001,2.0,0.0,MC-PW,FIREFLY FALL 2020,4.59625,0.0,PW,Assembly/Bill of Materials,No
13428,32595,WPDSD0849,792834803154,OB-STG001,1.0,0.0,B2C Warehouse PW,DISCONTINUED 6.15.20,7.7,0.0,PW,Assembly/Bill of Materials,No
13651,34666,WPKC10004,647658027173,OB-STG001,8.0,0.0,MC-PW,FIREFLY FALL 2020,4.23068588,0.0,PW,Assembly/Bill of Materials,No
9983,33655,PDFD03Z,647658020402,OB-STG001,1.0,0.0,B2C Warehouse PW,WEB/AMAZON ,4.86350453,0.0,PW,Assembly/Bill of Materials,No
9898,36889,NSPFD02,647658033235,OB-STG001,72.0,0.0,MC-PW,Bed Bath & Beyond,3.14397321,0.0,PW,Inventory Item,No
9896,36876,NSP1406,647658033211,OB-STG001,126.0,48.0,MC-PW,Bed Bath & Beyond,3.77541995,181.22,PW,Inventory Item,No
9893,36875,NSP1405,647658033204,OB-STG001,126.0,48.0,MC-PW,Bed Bath & Beyond,3.77541667,181.22,PW,Inventory Item,No
9865,36878,NSP0802,647658033297,OB-STG001,126.0,48.0,MC-PW,Bed Bath & Beyond,2.68249275,128.76,PW,Inventory Item,No
9867,36879,NSP0803,647658033303,OB-STG001,126.0,48.0,MC-PW,Bed Bath & Beyond,2.68441257,128.852,PW,Inventory Item,No
9869,36880,NSP0804,647658033310,OB-STG001,126.0,48.0,MC-PW,Bed Bath & Beyond,2.60791667,125.18,PW,Inventory Item,No
9871,36881,NSP0805,647658033327,OB-STG001,78.0,0.0,MC-PW,Bed Bath & Beyond,2.60624339,0.0,PW,Inventory Item,No
2746,7370,EG02Z,647658998572,OB-STG001,2.0,0.0,B2C Warehouse PW,WEB/AMAZON ,4.45515924,0.0,PW,Assembly/Bill of Materials,No
9873,36882,NSP0806,647658033334,OB-STG001,186.0,66.0,MC-PW,Bed Bath & Beyond,2.60208974,171.738,PW,Inventory Item,No
2784,7374,EG06Z,647658998619,OB-STG001,1.0,0.0,B2C Warehouse PW,WEB/AMAZON ,4.57263893,0.0,PW,Assembly/Bill of Materials,No
9875,36866,NSP1202,647658033112,OB-STG001,132.0,48.0,MC-PW,Bed Bath & Beyond,2.62542005,126.02,PW,Inventory Item,No
2800,29292,EG07Z,647658010724,OB-STG001,1.0,0.0,B2C Warehouse PW,WEB/AMAZON ,4.69498228,0.0,PW,Assembly/Bill of Materials,No
9877,36867,NSP1203,647658033129,OB-STG001,126.0,48.0,MC-PW,Bed Bath & Beyond,2.62541333,126.02,PW,Inventory Item,No
9879,36868,NSP1204,647658033136,OB-STG001,126.0,48.0,MC-PW,Bed Bath & Beyond,2.62542151,126.02,PW,Inventory Item,No
2812,7376,EG08Z,647658010731,OB-STG001,2.0,0.0,B2C Warehouse PW,WEB/AMAZON ,4.34010245,0.0,PW,Assembly/Bill of Materials,No
9881,36869,NSP1205,647658033143,OB-STG001,126.0,48.0,MC-PW,Bed Bath & Beyond,2.62541344,126.02,PW,Inventory Item,No
9883,36870,NSP1206,647658033150,OB-STG001,126.0,48.0,MC-PW,Bed Bath & Beyond,2.62541667,126.02,PW,Inventory Item,No
9886,36872,NSP1402,647658033174,OB-STG001,126.0,48.0,MC-PW,Bed Bath & Beyond,3.77541667,181.22,PW,Inventory Item,No
9889,36873,NSP1403,647658033181,OB-STG001,126.0,48.0,MC-PW,Bed Bath & Beyond,3.77541667,181.22,PW,Inventory Item,No
9891,36874,NSP1404,647658033198,OB-STG001,126.0,48.0,MC-PW,Bed Bath & Beyond,3.77541667,181.22,PW,Inventory Item,No
10068,35167,PE0401Z,647658022956,OB-STG001,1.0,0.0,B2C Warehouse PW,WEB/AMAZON ,5.94164835,0.0,PW,Assembly/Bill of Materials,No
9863,36901,NSP0306,647658033396,OB-STG001,174.0,48.0,MC-PW,Bed Bath & Beyond,2.23414894,107.23899999999999,PW,Inventory Item,No
13645,36368,WPKC10003T,647658030029,OB-STG001,1.0,0.0,MC-PW,FIREFLY FALL 2020,4.76119048,0.0,PW,Assembly/Bill of Materials,No
13643,34665,WPKC10003,647658027166,OB-STG001,8.0,0.0,MC-PW,FIREFLY FALL 2020,4.58879586,0.0,PW,Assembly/Bill of Materials,No
13613,34737,WPKC05004,647658027234,OB-STG001,8.0,0.0,MC-PW,FIREFLY FALL 2020,2.80327186,0.0,PW,Assembly/Bill of Materials,No
13492,34979,WPDSR0638,647658029535,OB-STG001,12.0,0.0,MC-PW,FIREFLY SPRING 2021,3.11866667,0.0,PW,Assembly/Bill of Materials,No
13494,34980,WPDSR0639,647658029542,OB-STG001,4.0,0.0,MC-PW,FIREFLY SPRING 2021,3.00285714,0.0,PW,Assembly/Bill of Materials,No
13609,34736,WPKC05003,647658027227,OB-STG001,12.0,0.0,MC-PW,FIREFLY FALL 2020,2.85929625,0.0,PW,Assembly/Bill of Materials,No
132,18625,AGDW-1002,812442026476,OB-STG001,1.0,0.0,B2C Warehouse INK,Current,1.93844075,0.0,INK,Inventory Item,No
10149,27763,PK1106Z,647658017099,OB-STG001,1.0,0.0,B2C Warehouse PW,WEB/AMAZON ,6.52774069,0.0,PW,Assembly/Bill of Materials,No
10152,34937,PK1107,647658025407,OB-STG001,4.0,4.0,MC-PW,PADDYWAX FALL 2020,4.68974202,18.759,PW,Assembly/Bill of Materials,No
13617,34738,WPKC05005,647658027241,OB-STG001,12.0,0.0,MC-PW,FIREFLY FALL 2020,2.77944882,0.0,PW,Assembly/Bill of Materials,No
130,18624,AGDW-1001,812442026469,OB-STG001,1.0,0.0,B2C Warehouse INK,Current,2.38699746,0.0,INK,Inventory Item,No
13604,34735,WPKC05002,647658027210,OB-STG001,8.0,0.0,MC-PW,FIREFLY FALL 2020,2.88421174,0.0,PW,Assembly/Bill of Materials,No
13599,34732,WPKC05001,647658027203,OB-STG001,8.0,0.0,MC-PW,FIREFLY FALL 2020,2.8716837,0.0,PW,Assembly/Bill of Materials,No
13579,32539,WPHC08005,700755545770,OB-STG001,1.0,0.0,B2C Warehouse PW,CURRENT,3.0859375,0.0,PW,Assembly/Bill of Materials,No
13546,34906,WPDSR1228,647658028880,OB-STG001,4.0,0.0,MC-PW,FIREFLY SPRING 2021,4.28133333,0.0,PW,Assembly/Bill of Materials,No
117,25189,ACC06,647658018614,OB-STG001,4.0,0.0,B2C Warehouse PW,Current,1.44438167,0.0,PW,Inventory Item,No
122,35142,ACC09,647658026428,OB-STG001,1.0,0.0,B2C Warehouse PW,PADDYWAX FALL 2020,1.69977075,0.0,PW,Inventory Item,No
13544,34905,WPDSR1227,647658028873,OB-STG001,4.0,0.0,MC-PW,FIREFLY SPRING 2021,4.71190476,0.0,PW,Assembly/Bill of Materials,No
127,35146,ACC12,647658026459,OB-STG001,1.0,0.0,B2C Warehouse PW,PADDYWAX FALL 2020,1.69973913,0.0,PW,Inventory Item,No
3180,33890,FH0802Z,647658018478,OB-STG001,1.0,0.0,B2C Warehouse PW,WEB/AMAZON ,4.20065359,0.0,PW,Assembly/Bill of Materials,No
13624,34663,WPKC10001,647658027142,OB-STG001,8.0,0.0,MC-PW,FIREFLY FALL 2020,4.64916107,0.0,PW,Assembly/Bill of Materials,No
10124,27761,PK1104Z,647658014104,OB-STG001,1.0,0.0,B2C Warehouse PW,WEB/AMAZON ,5.6506274,0.0,PW,Assembly/Bill of Materials,No
10080,35177,PE0403Z,647658022994,OB-STG001,2.0,0.0,B2C Warehouse PW,WEB/AMAZON ,6.013,0.0,PW,Assembly/Bill of Materials,No
13474,34960,WPDSR0620,647658029351,OB-STG001,8.0,0.0,MC-PW,FIREFLY SPRING 2021,3.26967742,0.0,PW,Assembly/Bill of Materials,No
13480,34968,WPDSR0627,647658029429,OB-STG001,4.0,0.0,MC-PW,FIREFLY SPRING 2021,3.656,0.0,PW,Assembly/Bill of Materials,No
13482,34969,WPDSR0628,647658029436,OB-STG001,4.0,0.0,MC-PW,FIREFLY SPRING 2021,2.94090909,0.0,PW,Assembly/Bill of Materials,No
3287,35793,FR1206Z,647658025377,OB-STG001,1.0,0.0,B2C Warehouse PW,WEB/AMAZON ,5.42099415,0.0,PW,Assembly/Bill of Materials,No
3284,34746,FR1206,647658025377,OB-STG001,4.0,4.0,MC-PW,PADDYWAX FALL 2020,4.86405204,19.456,PW,Assembly/Bill of Materials,No
3282,36125,FR1205Z,647658024189,OB-STG001,1.0,0.0,B2C Warehouse PW,WEB/AMAZON ,5.78622936,0.0,PW,Assembly/Bill of Materials,No
10092,27758,PK1101Z,647658014067,OB-STG001,2.0,0.0,B2C Warehouse PW,WEB/AMAZON ,5.27650246,0.0,PW,Assembly/Bill of Materials,No
13636,36367,WPKC10002T,647658030012,OB-STG001,1.0,0.0,MC-PW,FIREFLY FALL 2020,4.79022727,0.0,PW,Assembly/Bill of Materials,No
3262,36089,FR1203Z,647658024165,OB-STG001,4.0,0.0,B2C Warehouse PW,WEB/AMAZON ,5.99183884,0.0,PW,Assembly/Bill of Materials,No
3252,36090,FR1202Z,647658024158,OB-STG001,3.0,0.0,B2C Warehouse PW,WEB/AMAZON ,5.48824281,0.0,PW,Assembly/Bill of Materials,No
3242,34747,FR0606,647658025360,OB-STG001,4.0,4.0,MC-PW,PADDYWAX FALL 2020,3.66200458,14.648,PW,Assembly/Bill of Materials,No
10104,27759,PK1102Z,647658014074,OB-STG001,2.0,0.0,B2C Warehouse PW,WEB/AMAZON ,5.6218262,0.0,PW,Assembly/Bill of Materials,No
10114,27760,PK1103Z,647658014081,OB-STG001,1.0,0.0,B2C Warehouse PW,WEB/AMAZON ,5.77729894,0.0,PW,Assembly/Bill of Materials,No
13633,34664,WPKC10002,647658027159,OB-STG001,4.0,0.0,MC-PW,FIREFLY FALL 2020,4.3226523,0.0,PW,Assembly/Bill of Materials,No
13626,36364,WPKC10001T,647658030005,OB-STG001,2.0,0.0,MC-PW,FIREFLY FALL 2020,4.53028986,0.0,PW,Assembly/Bill of Materials,No
3198,33893,FH0805Z,647658018508,OB-STG001,1.0,0.0,B2C Warehouse PW,WEB/AMAZON ,4.79069333,0.0,PW,Assembly/Bill of Materials,No
10076,35176,PE0402Z,647658022970,OB-STG001,2.0,0.0,B2C Warehouse PW,WEB/AMAZON ,5.99302583,0.0,PW,Assembly/Bill of Materials,No
9478,31298,NFD1504,647658024318,OB-STG001,4.0,0.0,MC-PW,CUSTOM ITEM MEIJER,3.99976891,0.0,PW,Assembly/Bill of Materials,No
9861,36900,NSP0305,647658033389,OB-STG001,180.0,48.0,MC-PW,Bed Bath & Beyond,2.23416667,107.24,PW,Inventory Item,No
9857,36898,NSP0303,647658033365,OB-STG001,180.0,48.0,MC-PW,Bed Bath & Beyond,2.23416667,107.24,PW,Inventory Item,No
9567,31496,NFD1509,647658024851,OB-STG001,4.0,0.0,MC-PW,CUSTOM ITEM MEIJER,4.28260005,0.0,PW,Assembly/Bill of Materials,No
5534,25445,JD80-2219,812442030503,OB-STG001,1.0,0.0,B2C Warehouse INK,SPRING 2019,3.66766871,0.0,INK,Inventory Item,No
5530,25444,JD80-2218,812442030497,OB-STG001,1.0,0.0,B2C Warehouse INK,DISCONTINUED 6/2020,3.12210638,0.0,INK,Inventory Item,No
119,35140,ACC08,647658026411,OB-STG001,1.0,0.0,B2C Warehouse PW,PADDYWAX FALL 2020,1.69974062,0.0,PW,Inventory Item,No
5481,18635,JBE86-2152,812442027411,OB-STG001,2.0,0.0,B2C Warehouse INK,Current,3.24862985,0.0,INK,Inventory Item,No
5473,13815,JBE86-2008,812442022300,OB-STG001,2.0,0.0,B2C Warehouse INK,Current,3.63920728,0.0,INK,Inventory Item,No
5409,18603,JB86-1094,812442026636,OB-STG001,3.0,3.0,MC-INK,Current,2.08918782,6.268,INK,Inventory Item,No
5536,25446,JD80-2220,812442030510,OB-STG001,2.0,0.0,B2C Warehouse INK,SPRING 2019,3.92962096,0.0,INK,Inventory Item,No
5381,31037,JB85-2052,840111505953,OB-STG001,1.0,0.0,B2C Warehouse INK,DWI SPRING 2020,2.12951389,0.0,INK,Inventory Item,No
224,7340,APG801Z,647658387437,OB-STG001,1.0,0.0,B2C Warehouse PW,WEB/AMAZON ,4.3914433,0.0,PW,Assembly/Bill of Materials,No
2170,31632,CERAMIC : TCB36424,,OB-STG001,48.0,0.0,MC-PW,CURRENT  TCB,1.74502315,0.0,PW,Inventory Item,No
5295,28940,JB47-1006,812442032927,OB-STG001,12.0,12.0,MC-INK,FALL 2019,2.5087451,30.105,INK,Inventory Item,No
5293,25463,JB47-1005,812442031029,OB-STG001,1.0,0.0,B2C Warehouse INK,SPRING 2019,2.34263403,0.0,INK,Inventory Item,No
5288,25461,JB47-1003,812442030619,OB-STG001,1.0,0.0,B2C Warehouse INK,SPRING 2019,2.54725769,0.0,INK,Inventory Item,No
5284,25458,JB47-1000,812442030589,OB-STG001,1.0,0.0,B2C Warehouse INK,SPRING 2019,2.67576106,0.0,INK,Inventory Item,No
2166,31630,CERAMIC : TCB36422,,OB-STG001,24.0,0.0,MC-PW,CURRENT  TCB,1.74501984,0.0,PW,Inventory Item,No
10437,33612,PT1204Z,647658020686,OB-STG001,1.0,0.0,B2C Warehouse PW,WEB/AMAZON ,6.31568254,0.0,PW,Assembly/Bill of Materials,No
2172,31633,CERAMIC : TCB36425,,OB-STG001,24.0,0.0,MC-PW,CURRENT  TCB,1.74501437,0.0,PW,Inventory Item,No
5539,25447,JD80-2221,812442030527,OB-STG001,3.0,1.0,B2C Warehouse INK,SPRING 2019,3.805571,3.806,INK,Inventory Item,No
5541,25448,JD80-2222,812442030985,OB-STG001,1.0,0.0,B2C Warehouse INK,DISCONTINUED 6/2020,3.53096014,0.0,INK,Inventory Item,No
5693,25466,JS200-1003,812442031432,OB-STG001,1.0,0.0,B2C Warehouse INK,SPRING 2019,2.67407407,0.0,INK,Inventory Item,No
5685,25464,JS200-1001,812442031418,OB-STG001,1.0,0.0,B2C Warehouse INK,SPRING 2019,2.58830075,0.0,INK,Inventory Item,No
9497,31300,NFD1505,647658024325,OB-STG001,4.0,0.0,MC-PW,CUSTOM ITEM MEIJER,4.28915915,0.0,PW,Assembly/Bill of Materials,No
9509,31303,NFD1506,647658024332,OB-STG001,4.0,0.0,MC-PW,CUSTOM ITEM MEIJER,3.82624778,0.0,PW,Assembly/Bill of Materials,No
13756,37199,WPOC06004,647658033853,OB-STG001,44.0,0.0,MC-PW,FIREFLY SPRING 2021,3.6841546999999997,0.0,PW,Assembly/Bill of Materials,No
9516,31305,NFD1507,647658024349,OB-STG001,4.0,0.0,MC-PW,CUSTOM ITEM MEIJER,4.30729381,0.0,PW,Assembly/Bill of Materials,No
5619,25487,JF10-1006,812442031159,OB-STG001,1.0,0.0,B2C Warehouse INK,FALL 2019,3.72190583,0.0,INK,Inventory Item,No
5616,25484,JF10-1003,812442031128,OB-STG001,2.0,0.0,B2C Warehouse INK,DISCONTINUED 6/2020,3.91933165,0.0,INK,Inventory Item,No
9539,31306,NFD1508,647658024356,OB-STG001,4.0,0.0,MC-PW,CUSTOM ITEM MEIJER,4.08348597,0.0,PW,Assembly/Bill of Materials,No
5558,31030,JD80-2231,840111505946,OB-STG001,2.0,0.0,B2C Warehouse INK,DWI SPRING 2020,2.85702767,0.0,INK,Inventory Item,No
5556,31029,JD80-2230,840111505939,OB-STG001,3.0,0.0,B2C Warehouse INK,DWI SPRING 2020,3.43733696,0.0,INK,Inventory Item,No
5554,31028,JD80-2229,840111505922,OB-STG001,2.0,0.0,B2C Warehouse INK,DWI SPRING 2020,2.84333333,0.0,INK,Inventory Item,No
5553,31027,JD80-2228,840111505915,OB-STG001,1.0,0.0,B2C Warehouse INK,DWI SPRING 2020,2.85824176,0.0,INK,Inventory Item,No
5550,31026,JD80-2227,840111503805,OB-STG001,2.0,0.0,B2C Warehouse INK,DWI SPRING 2020,3.45761905,0.0,INK,Inventory Item,No
10445,37394,PU0002Z,647658033440,OB-STG001,1.0,0.0,B2C Warehouse PW,WEB/AMAZON ,4.52435208,0.0,PW,Inventory Item,No
5543,25449,JD80-2223,812442030992,OB-STG001,1.0,0.0,B2C Warehouse INK,SPRING 2019,3.31428656,0.0,INK,Inventory Item,No
13749,37198,WPOC06003,647658033846,OB-STG001,32.0,0.0,MC-PW,FIREFLY SPRING 2021,3.68122463,0.0,PW,Assembly/Bill of Materials,No
5268,34881,IM0507,647658026466,OB-STG001,4.0,4.0,MC-PW,PADDYWAX FALL 2020,3.1392464,12.557,PW,Assembly/Bill of Materials,No
9859,36899,NSP0304,647658033372,OB-STG001,174.0,48.0,MC-PW,Bed Bath & Beyond,2.23416667,107.24,PW,Inventory Item,No
5258,33652,IM0505Z,647658021065,OB-STG001,1.0,0.0,B2C Warehouse PW,WEB/AMAZON ,4.01587719,0.0,PW,Assembly/Bill of Materials,No
5250,33657,IM0503Z,647658021041,OB-STG001,3.0,0.0,B2C Warehouse PW,WEB/AMAZON ,4.16302966,0.0,PW,Assembly/Bill of Materials,No
