,Internal ID,Item Name,UPC Code,Bin Number,Bin OnHand,Bin Available,Bin Location,Item Status,Average Cost,Average Cost Per Bin,Subsidiary,Item Type,Inactive
4916,34711,GLCD : 25940,,A10-A-128,710.0,710.0,MC-PW,PADDYWAX FALL 2020,1.30821712,928.834,PW,Inventory Item,No
4102,27708,GL13Z,647658118031,A10-A-130,36.0,36.0,MC-PW,WEB/AMAZON ,4.51063697,162.38299999999998,PW,Assembly/Bill of Materials,No
8624,7204,MISC. : 50493,,A10-A-132,6400.0,6400.0,MC-PW,Current,0.26182611,1675.6870000000001,PW,Inventory Item,No
11339,2139,TINS : 30004,,A10-A-134,2688.0,2688.0,MC-PW,Current,0.35292886,948.673,PW,Inventory Item,No
9372,37553,NFD0811,647658034478,A10-A-136,480.0,480.0,MC-PW,CUSTOM ITEM MEIJER,3.25540972,1562.5970000000002,PW,Assembly/Bill of Materials,No
11340,2139,TINS : 30004,,A10-A-138,13118.0,13118.0,MC-PW,Current,0.35292886,4629.721,PW,Inventory Item,No
8625,7204,MISC. : 50493,,A10-A-140,6400.0,6400.0,MC-PW,Current,0.26182611,1675.6870000000001,PW,Inventory Item,No
5775,34080,KA0313Z,647658118673,A10-A-140,1.0,1.0,MC-PW,DISCONTINUED 6/2019,1.58,1.58,PW,Assembly/Bill of Materials,No
8626,7204,MISC. : 50493,,A10-A-142,6400.0,6400.0,MC-PW,Current,0.26182611,1675.6870000000001,PW,Inventory Item,No
1782,15102,CERAMIC : 36165,,A10-A-144,960.0,960.0,MC-PW,Discontinued Target Spring 2017,1.06721193,1024.5230000000001,PW,Inventory Item,No
1783,15102,CERAMIC : 36165,,A10-A-146,960.0,960.0,MC-PW,Discontinued Target Spring 2017,1.06721193,1024.5230000000001,PW,Inventory Item,No
12553,34610,WPBC03004,647658026947,A10-A-148,792.0,792.0,MC-PW,FIREFLY FALL 2020,2.36275602,1871.3029999999999,PW,Assembly/Bill of Materials,No
10451,16831,RBCD : 20082,,A10-A-150,1512.0,1512.0,MC-PW,INACTIVE,0.46472517,702.664,PW,Inventory Item,No
10452,16831,RBCD : 20082,,A10-A-152,1548.0,1548.0,MC-PW,INACTIVE,0.46472517,719.395,PW,Inventory Item,No
10453,16831,RBCD : 20082,,A10-A-154,1512.0,1512.0,MC-PW,INACTIVE,0.46472517,702.664,PW,Inventory Item,No
4785,31169,GLCD : 25823,,A10-A-156,672.0,672.0,MC-PW,CUSTOM ITEM MEIJER,1.18899054,799.002,PW,Inventory Item,No
8627,7204,MISC. : 50493,,A10-A-158,6400.0,6400.0,MC-PW,Current,0.26182611,1675.6870000000001,PW,Inventory Item,No
8628,7204,MISC. : 50493,,A10-A-160,6400.0,6400.0,MC-PW,Current,0.26182611,1675.6870000000001,PW,Inventory Item,No
11065,35175,SP1108Z,647658023083,A10-A-162,24.0,24.0,MC-PW,WEB/AMAZON ,4.54142198,108.994,PW,Assembly/Bill of Materials,No
4998,35522,GLCD : 25994,,A10-A-164,2346.0,2346.0,MC-PW,FIREFLY FALL 2020,0.89195415,2092.524,PW,Inventory Item,No
8629,7204,MISC. : 50493,,A10-A-166,12000.0,12000.0,MC-PW,Current,0.26182611,3141.913,PW,Inventory Item,No
11341,2139,TINS : 30004,,A10-A-168,10289.0,10289.0,MC-PW,Current,0.35292886,3631.285,PW,Inventory Item,No
1013,18391,CARTONS : 50815,,A10-A-170,450.0,450.0,MC-PW,PADDYWAX SPRING 2018,0.66301953,298.35900000000004,PW,Inventory Item,No
1954,18061,CERAMIC : 36263,,A10-A-172,768.0,768.0,MC-PW,Discontinued,1.98526492,1524.683,PW,Inventory Item,No
4358,15072,GLCD : 25316,,A10-A-174,840.0,840.0,MC-PW,INACTIVE,0.67883649,570.2230000000001,PW,Inventory Item,No
9375,37554,NFD0812,647658034485,A10-A-176,112.0,112.0,MC-PW,CUSTOM ITEM MEIJER,3.23430249,362.24199999999996,PW,Assembly/Bill of Materials,No
8796,36389,ML5435,817636019395,A10-A-178,1016.0,1016.0,MC-ONV,CURRENT,1.8071085999999998,1836.0220000000002,ONV,Inventory Item,No
2870,34064,ES01Z,647658018638,A10-A-180,4.0,4.0,MC-PW,WEB/AMAZON ,2.92933333,11.717,PW,Assembly/Bill of Materials,No
12593,34577,WPBC12003,647658025476,A10-A-180,152.0,152.0,MC-PW,FIREFLY FALL 2020,5.51084699,837.6489999999999,PW,Assembly/Bill of Materials,No
2881,34067,ES05Z,647658018676,A10-A-180,28.0,28.0,MC-PW,WEB/AMAZON ,4.05017544,113.405,PW,Assembly/Bill of Materials,No
12414,13378,WAX&WICK : 24064,,A10-A-182,8736.0,8736.0,MC-PW,Discontinued PW 6-2018,0.26,2271.36,PW,Inventory Item,No
12480,29272,WIC01Z,647658012520,A10-A-184,198.0,198.0,MC-PW,WEB/AMAZON ,4.82823232,955.99,PW,Assembly/Bill of Materials,No
4797,31170,GLCD : 25824,,A10-A-186,48.0,48.0,MC-PW,CUSTOM ITEM MEIJER,1.18872967,57.059,PW,Inventory Item,No
